"from","to","strength","direction"
"D11","D10",0.39,0.866666666666667
"D11","D15",1,0.362
"D11","D17",0.01,0.5
"D11","D18",0.376,0.805851063829787
"D11","D19",0.084,0.69047619047619
"D11","D20",0.094,0.702127659574468
"D11","D21",0.156,0.769230769230769
"D11","D22",0.014,0.571428571428571
"D11","D23",0.35,0.657142857142857
"D11","D24",0.348,0.859195402298851
"D11","D26",0.374,0.596256684491979
"D11","D29",0.134,0.880597014925373
"D11","D30",0.362,0.823204419889503
"D11","D32",0.252,0.777777777777778
"D11","D34",0.506,0.857707509881423
"D11","D36",0.254,0.740157480314961
"D11","D37",0.59,0.694915254237288
"D11","D42",0.182,0.78021978021978
"D15","D1",0.096,0.604166666666667
"D15","D2",0.36,0.780555555555556
"D15","D4",0.938,0.918976545842218
"D15","D5",0.188,0.76063829787234
"D15","D6",0.892,0.933856502242153
"D15","D7",0.138,0.702898550724638
"D15","D8",0.078,0.705128205128205
"D15","D9",0.142,0.549295774647887
"D15","D10",0.076,0.81578947368421
"D15","D11",1,0.638
"D15","D17",0.01,0.3
"D15","D18",0.118,0.669491525423729
"D15","D19",0.146,0.876712328767123
"D15","D20",0.392,0.831632653061224
"D15","D21",0.584,0.909246575342466
"D15","D22",0.986,0.696754563894523
"D15","D23",0.166,0.560240963855422
"D15","D24",0.116,0.629310344827586
"D15","D26",0.206,0.849514563106796
"D15","D29",0.162,0.876543209876543
"D15","D30",0.17,0.7
"D15","D32",0.092,0.760869565217391
"D15","D34",0.118,0.686440677966102
"D15","D36",0.682,0.912023460410557
"D15","D37",0.984,0.766260162601626
"D15","D42",0.132,0.833333333333333
"D17","D1",0.206,0.315533980582524
"D17","D2",0.382,0.246073298429319
"D17","D4",0.054,0.333333333333333
"D17","D5",0.06,0.333333333333333
"D17","D6",0.066,0.424242424242424
"D17","D7",0.174,0.494252873563218
"D17","D8",0.06,0.416666666666667
"D17","D9",0.068,0.323529411764706
"D17","D10",0.22,0.2
"D17","D11",0.01,0.5
"D17","D15",0.01,0.7
"D17","D18",0.21,0.357142857142857
"D17","D19",0.594,0.282828282828283
"D17","D20",0.838,0.0393794749403341
"D17","D21",0.048,0.5
"D17","D22",0.068,0.411764705882353
"D17","D23",0.226,0.455752212389381
"D17","D24",0.012,0.75
"D17","D26",0.952,0.17436974789916
"D17","D29",0.354,0.248587570621469
"D17","D30",0.474,0.369198312236287
"D17","D32",0.09,0.411111111111111
"D17","D34",0.062,0.354838709677419
"D17","D36",0.096,0.3125
"D17","D37",0.202,0.336633663366337
"D17","D42",0.16,0.53125
"D18","D1",0.884,0.592760180995475
"D18","D2",0.484,0.667355371900826
"D18","D4",0.432,0.486111111111111
"D18","D5",0.648,0.584876543209876
"D18","D6",0.828,0.458937198067633
"D18","D7",0.364,0.598901098901099
"D18","D8",0.546,0.474358974358974
"D18","D9",0.546,0.419413919413919
"D18","D10",0.33,0.63030303030303
"D18","D11",0.376,0.194148936170213
"D18","D15",0.118,0.330508474576271
"D18","D17",0.21,0.642857142857143
"D18","D19",0.718,0.566852367688022
"D18","D20",0.302,0.602649006622517
"D18","D21",0.342,0.587719298245614
"D18","D22",0.47,0.253191489361702
"D18","D23",0.484,0.514462809917355
"D18","D24",0.586,0.148464163822526
"D18","D26",0.494,0.44331983805668
"D18","D29",0.568,0.461267605633803
"D18","D30",0.992,0.549395161290323
"D18","D32",0.622,0.516077170418006
"D18","D34",0.298,0.526845637583893
"D18","D36",0.474,0.563291139240506
"D18","D37",0.336,0.297619047619048
"D18","D42",0.71,0.422535211267606
"D19","D1",0.826,0.411622276029056
"D19","D2",0.422,0.454976303317536
"D19","D4",0.21,0.338095238095238
"D19","D5",0.336,0.446428571428571
"D19","D6",0.422,0.367298578199052
"D19","D7",0.354,0.242937853107345
"D19","D8",0.822,0.231143552311436
"D19","D9",0.446,0.331838565022422
"D19","D10",0.73,0.564383561643836
"D19","D11",0.084,0.30952380952381
"D19","D15",0.146,0.123287671232877
"D19","D17",0.594,0.717171717171717
"D19","D18",0.718,0.433147632311978
"D19","D20",0.488,0.225409836065574
"D19","D21",0.412,0.558252427184466
"D19","D22",0.178,0.241573033707865
"D19","D23",0.834,0.441247002398082
"D19","D24",0.132,0.21969696969697
"D19","D26",0.594,0.279461279461279
"D19","D29",0.572,0.372377622377622
"D19","D30",0.812,0.4064039408867
"D19","D32",0.124,0.508064516129032
"D19","D34",0.848,0.244103773584906
"D19","D36",0.368,0.252717391304348
"D19","D37",0.656,0.076219512195122
"D19","D42",0.47,0.338297872340426
"D20","D1",0.458,0.744541484716157
"D20","D2",0.874,0.754004576659039
"D20","D4",0.11,0.372727272727273
"D20","D5",0.074,0.472972972972973
"D20","D6",0.25,0.416
"D20","D7",0.434,0.638248847926267
"D20","D8",0.748,0.504010695187166
"D20","D9",0.094,0.468085106382979
"D20","D10",0.16,0.9
"D20","D11",0.094,0.297872340425532
"D20","D15",0.392,0.168367346938776
"D20","D17",0.838,0.960620525059666
"D20","D18",0.302,0.397350993377483
"D20","D19",0.488,0.774590163934426
"D20","D21",0.352,0.65625
"D20","D22",0.66,0.184848484848485
"D20","D23",0.206,0.344660194174757
"D20","D24",0.224,0.683035714285714
"D20","D26",0.218,0.577981651376147
"D20","D29",0.304,0.588815789473684
"D20","D30",0.25,0.532
"D20","D32",0.492,0.676829268292683
"D20","D34",0.406,0.795566502463054
"D20","D36",0.358,0.455307262569832
"D20","D37",0.284,0.5
"D20","D42",0.684,0.676900584795322
"D21","D1",0.368,0.304347826086957
"D21","D2",0.402,0.654228855721393
"D21","D4",0.102,0.431372549019608
"D21","D5",0.262,0.603053435114504
"D21","D6",0.274,0.492700729927007
"D21","D7",0.608,0.549342105263158
"D21","D8",0.126,0.380952380952381
"D21","D9",0.262,0.538167938931298
"D21","D10",0.104,0.365384615384615
"D21","D11",0.156,0.230769230769231
"D21","D15",0.584,0.0907534246575342
"D21","D17",0.048,0.5
"D21","D18",0.342,0.412280701754386
"D21","D19",0.412,0.441747572815534
"D21","D20",0.352,0.34375
"D21","D22",0.262,0.454198473282443
"D21","D23",0.292,0.373287671232877
"D21","D24",0.11,0.645454545454546
"D21","D26",0.802,0.379052369077307
"D21","D29",0.222,0.846846846846847
"D21","D30",0.752,0.404255319148936
"D21","D32",0.364,0.274725274725275
"D21","D34",0.416,0.300480769230769
"D21","D36",0.166,0.590361445783133
"D21","D37",0.132,0.492424242424242
"D21","D42",0.546,0.316849816849817
"D22","D1",0.192,0.6875
"D22","D2",0.34,0.647058823529412
"D22","D4",0.004,0.5
"D22","D5",0.17,0.652941176470588
"D22","D6",0.604,0.716887417218543
"D22","D7",0.424,0.797169811320755
"D22","D8",0.028,0.642857142857143
"D22","D9",0.018,0.833333333333333
"D22","D10",0.012,0.916666666666667
"D22","D11",0.014,0.428571428571429
"D22","D15",0.986,0.303245436105477
"D22","D17",0.068,0.588235294117647
"D22","D18",0.47,0.746808510638298
"D22","D19",0.178,0.758426966292135
"D22","D20",0.66,0.815151515151515
"D22","D21",0.262,0.545801526717557
"D22","D23",0.366,0.576502732240437
"D22","D24",0.796,0.878140703517588
"D22","D26",0.486,0.765432098765432
"D22","D29",0.16,0.775
"D22","D30",0.136,0.610294117647059
"D22","D32",0.34,0.702941176470588
"D22","D34",0.308,0.922077922077922
"D22","D36",0.338,0.784023668639053
"D22","D37",0.002,0.5
"D22","D42",0.268,0.828358208955224
"D23","D1",0.69,0.489855072463768
"D23","D2",0.388,0.698453608247423
"D23","D4",0.606,0.511551155115512
"D23","D5",0.332,0.668674698795181
"D23","D6",0.72,0.391666666666667
"D23","D7",0.46,0.482608695652174
"D23","D8",0.348,0.502873563218391
"D23","D9",0.5,0.64
"D23","D10",0.674,0.517804154302671
"D23","D11",0.35,0.342857142857143
"D23","D15",0.166,0.439759036144578
"D23","D17",0.226,0.54424778761062
"D23","D18",0.484,0.485537190082645
"D23","D19",0.834,0.558752997601918
"D23","D20",0.206,0.655339805825243
"D23","D21",0.292,0.626712328767123
"D23","D22",0.366,0.423497267759563
"D23","D24",0.32,0.340625
"D23","D26",0.696,0.419540229885057
"D23","D29",0.72,0.502777777777778
"D23","D30",0.818,0.485330073349633
"D23","D32",0.36,0.613888888888889
"D23","D34",0.73,0.473972602739726
"D23","D36",0.49,0.536734693877551
"D23","D37",0.364,0.472527472527473
"D23","D42",0.35,0.554285714285714
"D24","D1",0.324,0.746913580246914
"D24","D2",0.18,0.533333333333333
"D24","D4",0.354,0.793785310734463
"D24","D5",0.218,0.692660550458716
"D24","D6",0.556,0.77158273381295
"D24","D7",0.348,0.198275862068966
"D24","D8",0.486,0.405349794238683
"D24","D9",0.044,0.227272727272727
"D24","D10",0.098,0.806122448979592
"D24","D11",0.348,0.140804597701149
"D24","D15",0.116,0.370689655172414
"D24","D17",0.012,0.25
"D24","D18",0.586,0.851535836177474
"D24","D19",0.132,0.78030303030303
"D24","D20",0.224,0.316964285714286
"D24","D21",0.11,0.354545454545455
"D24","D22",0.796,0.121859296482412
"D24","D23",0.32,0.659375
"D24","D26",0.098,0.193877551020408
"D24","D29",0.896,0.474330357142857
"D24","D30",0.224,0.732142857142857
"D24","D32",0.318,0.761006289308176
"D24","D34",0.234,0.713675213675214
"D24","D36",0.298,0.778523489932886
"D24","D37",0.404,0.589108910891089
"D24","D42",0.336,0.675595238095238
"D26","D1",0.474,0.616033755274262
"D26","D2",0.532,0.575187969924812
"D26","D4",0.242,0.144628099173554
"D26","D5",0.272,0.790441176470588
"D26","D6",0.64,0.346875
"D26","D7",0.95,0.0905263157894737
"D26","D8",0.14,0.55
"D26","D9",0.63,0.768253968253968
"D26","D10",0.018,0.888888888888889
"D26","D11",0.374,0.403743315508021
"D26","D15",0.206,0.150485436893204
"D26","D17",0.952,0.82563025210084
"D26","D18",0.494,0.55668016194332
"D26","D19",0.594,0.720538720538721
"D26","D20",0.218,0.422018348623853
"D26","D21",0.802,0.620947630922693
"D26","D22",0.486,0.234567901234568
"D26","D23",0.696,0.580459770114943
"D26","D24",0.098,0.806122448979592
"D26","D29",0.336,0.595238095238095
"D26","D30",0.264,0.723484848484849
"D26","D32",0.674,0.301186943620178
"D26","D34",0.136,0.698529411764706
"D26","D36",0.186,0.435483870967742
"D26","D37",0.138,0.492753623188406
"D26","D42",0.826,0.440677966101695
"D29","D1",0.624,0.530448717948718
"D29","D2",0.156,0.5
"D29","D4",0.958,0.0981210855949896
"D29","D5",0.16,0.6125
"D29","D6",0.578,0.256055363321799
"D29","D7",0.542,0.225092250922509
"D29","D8",0.398,0.412060301507538
"D29","D9",0.37,0.713513513513514
"D29","D10",0.202,0.420792079207921
"D29","D11",0.134,0.119402985074627
"D29","D15",0.162,0.123456790123457
"D29","D17",0.354,0.751412429378531
"D29","D18",0.568,0.538732394366197
"D29","D19",0.572,0.627622377622378
"D29","D20",0.304,0.411184210526316
"D29","D21",0.222,0.153153153153153
"D29","D22",0.16,0.225
"D29","D23",0.72,0.497222222222222
"D29","D24",0.896,0.525669642857143
"D29","D26",0.336,0.404761904761905
"D29","D30",0.744,0.580645161290323
"D29","D32",0.392,0.625
"D29","D34",0.524,0.541984732824427
"D29","D36",0.522,0.339080459770115
"D29","D37",0.21,0.5
"D29","D42",0.654,0.328746177370031
"D30","D1",0.704,0.524147727272727
"D30","D2",0.502,0.551792828685259
"D30","D4",0.306,0.415032679738562
"D30","D5",0.674,0.568249258160237
"D30","D6",0.248,0.467741935483871
"D30","D7",0.518,0.283783783783784
"D30","D8",0.636,0.369496855345912
"D30","D9",0.44,0.429545454545455
"D30","D10",0.396,0.313131313131313
"D30","D11",0.362,0.176795580110497
"D30","D15",0.17,0.3
"D30","D17",0.474,0.630801687763713
"D30","D18",0.992,0.450604838709677
"D30","D19",0.812,0.5935960591133
"D30","D20",0.25,0.468
"D30","D21",0.752,0.595744680851064
"D30","D22",0.136,0.389705882352941
"D30","D23",0.818,0.514669926650367
"D30","D24",0.224,0.267857142857143
"D30","D26",0.264,0.276515151515151
"D30","D29",0.744,0.419354838709677
"D30","D32",0.502,0.631474103585657
"D30","D34",0.454,0.495594713656388
"D30","D36",0.13,0.607692307692308
"D30","D37",0.418,0.251196172248804
"D30","D42",0.76,0.378947368421053
"D32","D1",0.446,0.497757847533632
"D32","D2",0.258,0.375968992248062
"D32","D4",0.736,0.591032608695652
"D32","D5",0.53,0.654716981132075
"D32","D6",0.692,0.420520231213873
"D32","D7",0.46,0.278260869565217
"D32","D8",0.386,0.347150259067358
"D32","D9",0.584,0.535958904109589
"D32","D10",0.124,0.483870967741935
"D32","D11",0.252,0.222222222222222
"D32","D15",0.092,0.239130434782609
"D32","D17",0.09,0.588888888888889
"D32","D18",0.622,0.483922829581994
"D32","D19",0.124,0.491935483870968
"D32","D20",0.492,0.323170731707317
"D32","D21",0.364,0.725274725274725
"D32","D22",0.34,0.297058823529412
"D32","D23",0.36,0.386111111111111
"D32","D24",0.318,0.238993710691824
"D32","D26",0.674,0.698813056379822
"D32","D29",0.392,0.375
"D32","D30",0.502,0.368525896414343
"D32","D34",0.496,0.576612903225806
"D32","D36",0.29,0.472413793103448
"D32","D37",0.234,0.222222222222222
"D32","D42",0.666,0.297297297297297
"D34","D1",0.804,0.531094527363184
"D34","D2",0.596,0.38255033557047
"D34","D4",0.43,0.346511627906977
"D34","D5",0.166,0.548192771084337
"D34","D6",0.334,0.317365269461078
"D34","D7",0.422,0.177725118483412
"D34","D8",0.416,0.237980769230769
"D34","D9",0.336,0.517857142857143
"D34","D10",0.558,0.539426523297491
"D34","D11",0.506,0.142292490118577
"D34","D15",0.118,0.313559322033898
"D34","D17",0.062,0.645161290322581
"D34","D18",0.298,0.473154362416107
"D34","D19",0.848,0.755896226415094
"D34","D20",0.406,0.204433497536946
"D34","D21",0.416,0.699519230769231
"D34","D22",0.308,0.0779220779220779
"D34","D23",0.73,0.526027397260274
"D34","D24",0.234,0.286324786324786
"D34","D26",0.136,0.301470588235294
"D34","D29",0.524,0.458015267175573
"D34","D30",0.454,0.504405286343612
"D34","D32",0.496,0.423387096774194
